id,name,description,contact_id,type,form,category,rate,duration,start_date,finish_date,cost,num_visit,num_visit_left,filial,invoice_id,discount,discount_comment,internal_notice,tags,tags2,event_id,assign_reason
8b900fae-4d30-4922-11cd-6a0c59684234,ЛШ 2026 Очно МФТИ 20.07 - 31.07 (УНПК),,edcc5712-592e-76ec-96f4-67a9aa2dc647,Standart,,,,360,2026-05-19,2027-05-14,33750,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,53250,,,,,OCH_LSH_MFTI_UNPK_2007,"явное название смены, score=9"
90fdac2f-1de9-f49d-1da9-6a0d78b400f5,ЛШ 2026 Очно МФТИ 20.07 - 31.07 (УНПК),,485ca3ae-71c2-e0c3-8595-6a0035d5fc7d,Standart,,,,360,2026-05-20,2027-05-15,59500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,27500,,,,,OCH_LSH_MFTI_UNPK_2007,"явное название смены, score=9"
aa830f95-8c76-72c3-9c30-6a0c54a5d976,ЛШ 2026 Очно МФТИ 20.07 - 31.07 (УНПК),,6f26ebe3-c710-e787-47fe-6a01aacf54ae,Standart,,,,360,2026-05-19,2027-05-14,37500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,49500,,,,,OCH_LSH_MFTI_UNPK_2007,"явное название смены, score=9"
c11fbeca-3d08-3593-73fa-6a0c5e331e99,ЛШ 2026 Очно МФТИ 20.07 - 31.07 (УНПК),,312172a9-e1ce-5f40-6413-69f993c8f531,Standart,,,,360,2026-05-19,2027-05-14,37500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,49500,,,,,OCH_LSH_MFTI_UNPK_2007,"явное название смены, score=9"
cb983f57-2e5d-5d0f-b5d9-69ea15590ef8,ЛШ-26 МФТИ 20.07 - 31.07 (УНПК),,cfa1d69e-feb3-9398-b4cb-610679d8e83f,Standart,,,,360,2026-04-23,2027-04-18,56525,1,1,,,30475,,,,,OCH_LSH_MFTI_UNPK_2007,"явное название смены, score=9"
d927513a-5cbc-f02e-7376-6a18142f086c,ЛШ 2026 Очно МФТИ 20.07 - 31.07 (УНПК),,76751551-8f1f-7e6f-7bea-6a15550eff96,Standart,,,,360,2026-05-28,2027-05-23,37500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,49500,,,,,OCH_LSH_MFTI_UNPK_2007,"явное название смены, score=9"
e0694bf0-4752-8686-d421-6a01c5bedf5e,ЛШ 2026 Очно МФТИ 20.07 - 31.07 (УНПК),,6b54944a-a6c4-bcd4-ccc9-6319a5355246,Standart,,,,360,2026-05-11,2027-05-06,37500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,49500,,,,,OCH_LSH_MFTI_UNPK_2007,"явное название смены, score=9"
e2296acf-eda7-5dee-c2f5-6a182b0f63a5,ЛШ 2026 Очно МФТИ 20.07 - 31.07 (УНПК),,d975f4d0-c0e0-7951-29db-6a0c2e883708,Standart,,,,360,2026-05-28,2027-05-23,37500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,49500,,,,,OCH_LSH_MFTI_UNPK_2007,"явное название смены, score=9"
e66e0bf9-bd67-2389-5c6f-6a2151d79a6d,ЛШ 2026 Очно МФТИ 20.07 - 31.07 (УНПК),,64750ac0-45c1-b9bd-fe62-69ef5d6ee97d,Standart,,,,360,2026-06-04,2027-05-30,33750,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,53250,,,,,OCH_LSH_MFTI_UNPK_2007,"явное название смены, score=9"
e6d73341-0a9e-e811-fb63-69e9cadfaeb9,ЛШ -26 МФТИ 20.07 - 31.07 (УНПК),,e70c3338-0e97-3060-46c1-69821835abac,Standart,,,,360,2026-04-23,2027-04-18,59500,1,1,{'mfti': 'МФТИ'},,27500,,,,,OCH_LSH_MFTI_UNPK_2007,"явное название смены, score=9"
f03b6b4e-0c24-1b9c-b145-6a0c57cef7bd,ЛШ 2026 Очно МФТИ 20.07 - 31.07 (УНПК),,770547d5-d6d8-3343-ec86-689ae6651027,Standart,,,,360,2026-05-19,2027-05-14,59500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,27500,,,,,OCH_LSH_MFTI_UNPK_2007,"явное название смены, score=9"
f33ab63f-ca84-1b7d-596d-69f2fe244666,ЛШ-26 МФТИ 20.07 - 31.07 (УНПК),,9357fb56-b2ab-59f1-f9a8-69e5fc4e4b75,Standart,,,,360,2026-04-30,2027-04-25,59500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,27500,,,,,OCH_LSH_MFTI_UNPK_2007,"явное название смены, score=9"
