id,name,description,subject_name,date_start,date_finish,program_name,filial,status,course_number_seats,course_tags,course_type
18de4cc6-7e8d-650f-57fa-69fb3f4e6a40,ЛШ 2026 Выездная 20.06-28.06 (Лист ожидания),,Сезонные школы 2025-2026 очно,2026-06-20,2026-06-28,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},active,0,,
5f4805c0-9ed5-bd34-4a26-691856da3f13,ЛШ 2026 Выездная 20.06-28.06 (ИТ) 7-10 кл (Не пишем),,Сезонные школы 2025-2026 очно,2026-06-20,2026-06-28,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},active,0,,
7d31929b-063c-0841-9c39-69185688a84c,ЛШ 2026 Выездная 20.06-28.06 (ФМ) 5-10 кл (Не пишем),,Сезонные школы 2025-2026 очно,2026-06-20,2026-06-28,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},active,0,,
95592285-6023-eb97-1655-6a22b5e19163,ЛШ 2026 Онлайн 22.06 – 03.07 (УНПК),,Сезонные школы 2025-2026 онлайн,2026-06-22,2026-07-03,,{'onlajn': 'Онлайн'},active,0,,
bb4fc9bf-6544-5f02-9ede-69dca4bad805,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,Сезонные школы 2025-2026 очно,2026-07-06,2026-07-17,,{'sretenka': 'Сретенка'},active,0,,
c9f061ad-263a-d250-f653-6a22b5caab09,ЛШ 2026 Онлайн 06.07 – 17.07 (УНПК),,Сезонные школы 2025-2026 онлайн,2026-07-06,2026-07-17,,{'onlajn': 'Онлайн'},active,0,,
2bd1b4fc-7014-331a-dc1a-691857138323,ЛШ 2026 Выездная 18.07-26.07 (ФМ) УНПК (Не пишем),,Сезонные школы 2025-2026 очно,2026-07-18,2026-07-26,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},active,0,,
65c811ad-ee0f-aca0-3f56-69185635259c,ЛШ 2026 Выездная 18.07-26.07 (ФМ) 5-10 кл ФОТОН (Не пишем),,Сезонные школы 2025-2026 очно,2026-07-18,2026-07-26,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},active,0,,
cc220b78-d9cb-68c8-98c1-6a140fb11a32,ЛШ 2026 Выездная 18.07-26.07 ФОТОН (Лист ожидания),,Сезонные школы 2025-2026 очно,2026-07-18,2026-07-26,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},active,0,,
ee6b0895-db11-257c-f781-6a140fc92677,ЛШ 2026 Выездная 18.07-26.07 УНПК (Лист ожидания),,Сезонные школы 2025-2026 очно,2026-07-18,2026-07-26,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},active,0,,
