id,name,description,subject_name,date_start,date_finish,program_name,filial,status,course_number_seats,course_tags,course_type
bb4fc9bf-6544-5f02-9ede-69dca4bad805,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,Сезонные школы 2025-2026 очно,2026-07-06,2026-07-17,,{'sretenka': 'Сретенка'},active,0,,
23614378-0805-50a6-9420-6a1fe644bae2,ЛШ 2026 Очно Москва 20.07 - 31.07 (УНПК) ФМ,,Сезонные школы 2025-2026 очно,2026-07-20,2026-07-31,,,active,0,,
bbbddbb3-7a10-37b6-d559-69dca318f82b,ЛШ 2026 Очно МФТИ 20.07 - 31.07 (УНПК),,Сезонные школы 2025-2026 очно,2026-07-20,2026-07-31,,{'mfti': 'МФТИ'},active,0,,
3fb8804b-fa57-8f10-2ae5-69dca4e663d8,ЛШ 2026 Очно Москва 3.08 - 14.08 (ФОТОН),,Сезонные школы 2025-2026 очно,2026-08-03,2026-08-14,,{'sretenka': 'Сретенка'},active,0,,
d205a658-ae79-65f9-191d-69dca3ebe216,ЛШ 2026 Очно МФТИ 17.08 - 28.08 (УНПК),,Сезонные школы 2025-2026 очно,2026-08-17,2026-08-28,,{'mfti': 'МФТИ'},active,0,,
