эффективная_цена	остаток_уточненный	разница_к_прайсу_%	статус_цены	стоимости_абонементов	скидки_абонементов	комментарий_проверки_цены	abonement_ids
79135	0	0.15	оплачено со скидкой/ранним бронированием	79135	7865	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	91434019-df47-184e-8642-69ff2476b97e
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	ad5300a7-c52b-2da6-5038-69675480858a
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	3b85422f-3728-0d0a-c122-69dcd2365095
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	5d346500-baed-aee8-e82c-6a0c5f3edb26
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	145bb537-65a1-304c-abd2-69ff2de79245
83790	0	0.1	оплачено со скидкой/ранним бронированием	83790	3210	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	4c236f41-9f7d-446f-988a-69ff2152b2f5
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	ce319604-80d0-7006-2015-69e1249adb90
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	cac10c1e-73fe-901c-13b7-69675407d4fa
79380	0	0.1474	оплачено со скидкой/ранним бронированием	79380	7620	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	82670439-6314-ea5e-d4f1-69c63b853a3d
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	b1d98227-253b-afe2-438d-69675456ca25
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	c7ac5527-05f1-1493-7c0d-69c63339dc23
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2cc00d02-c4fe-941f-0fcf-69c633107226
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	46002b51-26cf-f2b9-4245-69d39de7e6fe
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	c3c02e07-bb30-63db-543d-69a820b621c7
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	c49572d9-5a2f-da53-4882-69d3a58f0686
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	1b0d8ad0-41f9-6df8-d1c6-698da59a0919
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	5422e203-76da-4488-2234-69e6025aad36
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	ce2f5f3d-5764-0df8-da4e-69d3a71d3ab5
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	c392f08d-a1c8-ef6a-8d33-69ff1fc731d1
15000	0	0.8389	оплачено	75000.0	12000.0	Оплата покрывает персональную цену	f1da84b5-353f-4d9a-98cd-69b802c661ff
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	9a4006f8-13f3-660e-9178-69a805e60e05
79135	0	0.15	оплачено со скидкой/ранним бронированием	79135.0	7865.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	ed7510d8-e85d-0955-8c1f-6996cb8c77f0
79380	0	0.1474	оплачено со скидкой/ранним бронированием	79380	7620	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	cbe5892c-c26c-6ed3-d7e1-69d37e9c0366
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	de740bde-a99c-29e2-d49e-69ff2157aa41
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200.0	-1200.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	e7ba5492-a33a-8418-8e39-6a0c5e5e7c35
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	934a54c6-ccee-4289-2bc5-6a21833edbe5
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	da798d87-543f-1656-03c0-69e124221041
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	7caf0589-e72c-8b0a-ec43-69e8797f205d
